aw,temperature,mean_growth_rate,n
0.94,15,0.774514131,5
0.94,20,0.413310375625,24
0.94,25,0.880020787625,72
0.94,30,0.9496678152444444,90
0.95,15,0.301304442,51
0.95,20,0.5535689149516129,62
0.95,25,0.7709151102272728,132
0.95,30,0.8723500823442623,122
0.96,15,0.5037736855757575,99
0.96,20,0.69832078631,100
0.96,25,0.9181322913422818,149
0.96,30,0.830989617662069,145
0.97,15,0.36584712632000005,125
0.97,20,0.484613489616,125
0.97,25,0.701286562,149
0.97,30,0.920784644111111,144
0.98,15,0.29106661261538463,130
0.98,20,0.4199398256370968,124
0.98,25,0.5905832441133333,150
0.98,30,0.7510038514657533,146
0.99,15,0.36474112512396695,121
0.99,20,0.5606503829391304,115
0.99,25,0.8174329452,150
0.99,30,0.6600602373802817,142
