species,temperature,mean_growth_rate
F. avenaceum,15,0.32570824438271606
F. avenaceum,20,0.5158204178
F. avenaceum,25,0.8556073937342342
F. avenaceum,30,0.9130491224593302
F. graminearum,15,0.46855669946052625
F. graminearum,20,0.763460561296875
F. graminearum,25,0.7679522722710843
F. graminearum,30,0.8756311734821428
F. langsethiae,15,0.39937573986813185
F. langsethiae,20,0.5604087170843374
F. langsethiae,25,0.8752941730964912
F. langsethiae,30,0.9462450774742268
F. poae,15,0.36720448731623934
F. poae,20,0.47351929114912283
F. poae,25,0.7044680042012196
F. poae,30,0.7591518670730336
F. tricinctum,15,0.34276184171764706
F. tricinctum,20,0.4345633348314607
F. tricinctum,25,0.6240950130588235
F. tricinctum,30,0.6095642639416059
